,Target,Model,Accuracy,Precision,Recall,F1-Score,CV
43,Clindamicina,Logistic Regression_Best_PCA,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.7803333333333333
44,Clindamicina,Ridge_PCA,0.6774193548387096,0.4588969823100936,0.6774193548387096,0.5471464019851118,0.748
45,Clindamicina,Ridge_Best_PCA,0.6451612903225806,0.45161290322580644,0.6451612903225806,0.5313092979127134,0.748
46,Clindamicina,Decision Tree_PCA,0.7419354838709677,0.7317671809256662,0.7419354838709677,0.7334636689475399,0.7963333333333333
47,Clindamicina,Decision Tree_Best_PCA,0.7741935483870968,0.7667050691244239,0.7741935483870968,0.7617963314358002,0.8783333333333333
48,Clindamicina,K-nn_PCA,0.7096774193548387,0.6923963133640554,0.7096774193548387,0.6937381404174573,0.8859999999999999
49,Clindamicina,K-nn_Best_PCA,0.7741935483870968,0.7791563275434243,0.7741935483870968,0.7485701212537176,0.8936666666666667
50,Clindamicina,Random Forest_PCA,0.8064516129032258,0.810752688172043,0.8064516129032258,0.7906732117812062,0.8696666666666666
51,Clindamicina,Random Forest_Best_PCA,0.7741935483870968,0.7667050691244239,0.7741935483870968,0.7617963314358002,0.8779999999999999
52,Clindamicina,BernoulliNB_PCA,0.6451612903225806,0.6360377973281198,0.6451612903225806,0.6399494610494728,0.7643333333333334
53,Clindamicina,BernoulliNB_Best_PCA,0.6774193548387096,0.4588969823100936,0.6774193548387096,0.5471464019851118,0.748
54,Clindamicina,GaussianNB_PCA,0.7741935483870968,0.7667050691244239,0.7741935483870968,0.7617963314358002,0.8859999999999999
55,Clindamicina,GaussianNB_Best_PCA,0.8064516129032258,0.810752688172043,0.8064516129032258,0.7906732117812062,0.8943333333333333
56,Enrofloxacin,Logistic Regression_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.6746666666666666
57,Enrofloxacin,Logistic Regression_Best_PCA,0.7096774193548387,0.7010752688172042,0.7096774193548387,0.683111954459203,0.6913333333333334
58,Enrofloxacin,Ridge_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.6746666666666666
59,Enrofloxacin,Ridge_Best_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.6746666666666666
60,Enrofloxacin,Decision Tree_PCA,0.7096774193548387,0.7163271080928127,0.7096774193548387,0.7122666954364009,0.5770000000000001
61,Enrofloxacin,Decision Tree_Best_PCA,0.6451612903225806,0.626227208976157,0.6451612903225806,0.6295258025032574,0.6256666666666667
62,Enrofloxacin,K-nn_PCA,0.7096774193548387,0.7010752688172042,0.7096774193548387,0.683111954459203,0.7083333333333334
63,Enrofloxacin,K-nn_Best_PCA,0.6774193548387096,0.674347158218126,0.6774193548387096,0.6121351766513058,0.716
64,Enrofloxacin,Random Forest_PCA,0.6774193548387096,0.6595533498759306,0.6774193548387096,0.6379733520336606,0.7
65,Enrofloxacin,Random Forest_Best_PCA,0.6451612903225806,0.6161290322580646,0.6451612903225806,0.6126923887834704,0.7083333333333334
66,Enrofloxacin,BernoulliNB_PCA,0.6129032258064516,0.563771712158809,0.6129032258064516,0.5655680224403927,0.7003333333333333
67,Enrofloxacin,BernoulliNB_Best_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.6746666666666666
68,Enrofloxacin,GaussianNB_PCA,0.7096774193548387,0.7010752688172042,0.7096774193548387,0.683111954459203,0.7233333333333334
69,Enrofloxacin,GaussianNB_Best_PCA,0.7096774193548387,0.7010752688172042,0.7096774193548387,0.683111954459203,0.7233333333333334
70,ANT(6)-Ia,Logistic Regression_PCA,0.8064516129032258,0.6503642039542143,0.8064516129032258,0.7200460829493087,0.8293333333333333
71,ANT(6)-Ia,Logistic Regression_Best_PCA,0.7419354838709677,0.7054958183990442,0.7419354838709677,0.721091811414392,0.8616666666666667
72,ANT(6)-Ia,Ridge_PCA,0.8064516129032258,0.6503642039542143,0.8064516129032258,0.7200460829493087,0.8293333333333333
73,ANT(6)-Ia,Ridge_Best_PCA,0.8064516129032258,0.6503642039542143,0.8064516129032258,0.7200460829493087,0.8293333333333333
74,ANT(6)-Ia,Decision Tree_PCA,0.7741935483870968,0.7598014888337469,0.7741935483870968,0.7661434075096314,0.8210000000000001
75,ANT(6)-Ia,Decision Tree_Best_PCA,0.7741935483870968,0.7598014888337469,0.7741935483870968,0.7661434075096314,0.8943333333333333
76,ANT(6)-Ia,K-nn_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.8946666666666667
77,ANT(6)-Ia,K-nn_Best_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.9026666666666667
78,ANT(6)-Ia,Random Forest_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.8706666666666667
79,ANT(6)-Ia,Random Forest_Best_PCA,0.8387096774193549,0.8655913978494625,0.8387096774193549,0.7884373690825304,0.8783333333333333
80,ANT(6)-Ia,BernoulliNB_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.8370000000000001
81,ANT(6)-Ia,BernoulliNB_Best_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.845
82,ANT(6)-Ia,GaussianNB_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.8863333333333333
83,ANT(6)-Ia,GaussianNB_Best_PCA,0.7741935483870968,0.7269585253456221,0.7741935483870968,0.7429498884154999,0.8940000000000001
84,ErmB,Logistic Regression_PCA,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237,0.8133333333333335
85,ErmB,Logistic Regression_Best_PCA,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237,0.8133333333333335
86,ErmB,Ridge_PCA,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237,0.8133333333333335
87,ErmB,Ridge_Best_PCA,0.8064516129032258,0.6989247311827957,0.8064516129032258,0.7488479262672811,0.8456666666666667
88,ErmB,Decision Tree_PCA,0.8387096774193549,0.8261648745519713,0.8387096774193549,0.8312707107594509,0.773
89,ErmB,Decision Tree_Best_PCA,0.8387096774193549,0.8522580645161291,0.8387096774193549,0.8444597780461158,0.8699999999999999
90,ErmB,K-nn_PCA,0.7419354838709677,0.6889400921658987,0.7419354838709677,0.7144563918757467,0.8460000000000001
91,ErmB,K-nn_Best_PCA,0.7419354838709677,0.6889400921658987,0.7419354838709677,0.7144563918757467,0.8623333333333333
92,ErmB,Random Forest_PCA,0.8387096774193549,0.8261648745519713,0.8387096774193549,0.8312707107594509,0.8539999999999999
93,ErmB,Random Forest_Best_PCA,0.8387096774193549,0.8522580645161291,0.8387096774193549,0.8444597780461158,0.8700000000000001
94,ErmB,BernoulliNB_PCA,0.7419354838709677,0.6889400921658987,0.7419354838709677,0.7144563918757467,0.7803333333333334
95,ErmB,BernoulliNB_Best_PCA,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237,0.8133333333333335
96,ErmB,GaussianNB_PCA,0.7741935483870968,0.754778972520908,0.7741935483870968,0.7637789950632312,0.8786666666666667
97,ErmB,GaussianNB_Best_PCA,0.7741935483870968,0.754778972520908,0.7741935483870968,0.7637789950632312,0.8786666666666667
98,lsaE,Logistic Regression_PCA,0.7419354838709677,0.5504682622268471,0.7419354838709677,0.6320191158900836,0.7966666666666666
99,lsaE,Logistic Regression_Best_PCA,0.6774193548387096,0.7323146576117713,0.6774193548387096,0.6943164362519202,0.812
100,lsaE,Ridge_PCA,0.7419354838709677,0.5504682622268471,0.7419354838709677,0.6320191158900836,0.7966666666666666
101,lsaE,Ridge_Best_PCA,0.7419354838709677,0.5504682622268471,0.7419354838709677,0.6320191158900836,0.7966666666666666
102,lsaE,Decision Tree_PCA,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8443333333333334
103,lsaE,Decision Tree_Best_PCA,0.7741935483870968,0.7540942928039702,0.7741935483870968,0.7550514002126906,0.9103333333333333
104,lsaE,K-nn_PCA,0.7096774193548387,0.6979646697388632,0.7096774193548387,0.7030885380919698,0.9346666666666665
105,lsaE,K-nn_Best_PCA,0.7096774193548387,0.6979646697388632,0.7096774193548387,0.7030885380919698,0.9263333333333333
106,lsaE,Random Forest_PCA,0.7419354838709677,0.7060931899641577,0.7419354838709677,0.7092473118279571,0.9103333333333333
107,lsaE,Random Forest_Best_PCA,0.7419354838709677,0.7060931899641577,0.7419354838709677,0.7092473118279571,0.9103333333333333
108,lsaE,BernoulliNB_PCA,0.6774193548387096,0.6140979689366786,0.6774193548387096,0.6365591397849462,0.8946666666666667
109,lsaE,BernoulliNB_Best_PCA,0.6774193548387096,0.6140979689366786,0.6774193548387096,0.6365591397849462,0.8783333333333333
110,lsaE,GaussianNB_PCA,0.6774193548387096,0.6498924731182796,0.6774193548387096,0.6610983102918587,0.9103333333333333
111,lsaE,GaussianNB_Best_PCA,0.6774193548387096,0.6498924731182796,0.6774193548387096,0.6610983102918587,0.9103333333333333
112,tetM,Logistic Regression_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8456666666666667
113,tetM,Logistic Regression_Best_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8456666666666667
114,tetM,Ridge_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8456666666666667
115,tetM,Ridge_Best_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8456666666666667
116,tetM,Decision Tree_PCA,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.8300000000000001
117,tetM,Decision Tree_Best_PCA,0.7741935483870968,0.7677068723702665,0.7741935483870968,0.7700611427366646,0.8539999999999999
118,tetM,K-nn_PCA,0.7096774193548387,0.6708482676224611,0.7096774193548387,0.6686585304096826,0.8453333333333333
119,tetM,K-nn_Best_PCA,0.7096774193548387,0.6590656284760845,0.7096774193548387,0.6372261514576506,0.8456666666666667
120,tetM,Random Forest_PCA,0.7419354838709677,0.7258064516129032,0.7419354838709677,0.6929032258064516,0.8456666666666667
121,tetM,Random Forest_Best_PCA,0.7419354838709677,0.810752688172043,0.7419354838709677,0.6585607940446649,0.8619999999999999
122,tetM,BernoulliNB_PCA,0.6774193548387096,0.49677419354838703,0.6774193548387096,0.5732009925558313,0.8376666666666667
123,tetM,BernoulliNB_Best_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8536666666666667
124,tetM,GaussianNB_PCA,0.6451612903225806,0.607741935483871,0.6451612903225806,0.6210020590253946,0.8053333333333335
125,tetM,GaussianNB_Best_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.8456666666666667
126,tetO,Logistic Regression_PCA,0.7741935483870968,0.5993756503642039,0.7741935483870968,0.6756598240469208,0.732
127,tetO,Logistic Regression_Best_PCA,0.7741935483870968,0.5993756503642039,0.7741935483870968,0.6756598240469208,0.732
128,tetO,Ridge_PCA,0.7741935483870968,0.5993756503642039,0.7741935483870968,0.6756598240469208,0.732
129,tetO,Ridge_Best_PCA,0.7741935483870968,0.5993756503642039,0.7741935483870968,0.6756598240469208,0.732
130,tetO,Decision Tree_PCA,0.6129032258064516,0.6809384164222875,0.6129032258064516,0.638318670576735,0.738
131,tetO,Decision Tree_Best_PCA,0.6774193548387096,0.7086999022482893,0.6774193548387096,0.6905680224403926,0.7556666666666666
132,tetO,K-nn_PCA,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.8206666666666667
133,tetO,K-nn_Best_PCA,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.8286666666666667
134,tetO,Random Forest_PCA,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.8293333333333333
135,tetO,Random Forest_Best_PCA,0.7419354838709677,0.7156327543424319,0.7419354838709677,0.7255913978494625,0.8210000000000001
136,tetO,BernoulliNB_PCA,0.7741935483870968,0.7632258064516129,0.7741935483870968,0.7678128323289614,0.7316666666666667
137,tetO,BernoulliNB_Best_PCA,0.7741935483870968,0.5993756503642039,0.7741935483870968,0.6756598240469208,0.732
138,tetO,GaussianNB_PCA,0.7419354838709677,0.7689801238188335,0.7419354838709677,0.7524544179523142,0.8293333333333333
139,tetO,GaussianNB_Best_PCA,0.7741935483870968,0.7632258064516129,0.7741935483870968,0.7678128323289614,0.8453333333333333
140,mf3,Logistic Regression_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.6666666666666666
141,mf3,Logistic Regression_Best_PCA,0.8387096774193549,0.8348527349228612,0.8387096774193549,0.8357579590976175,0.7486666666666667
142,mf3,Ridge_PCA,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944,0.6666666666666666
143,mf3,Ridge_Best_PCA,0.7741935483870968,0.8286985539488321,0.7741935483870968,0.7178425622448393,0.6996666666666667
144,mf3,Decision Tree_PCA,0.7419354838709677,0.7277265745007679,0.7419354838709677,0.7314165497896213,0.6753333333333333
145,mf3,Decision Tree_Best_PCA,0.6129032258064516,0.6378299120234604,0.6129032258064516,0.623041474654378,0.6426666666666667
146,mf3,K-nn_PCA,0.8064516129032258,0.8234604105571848,0.8064516129032258,0.811520737327189,0.6423333333333333
147,mf3,K-nn_Best_PCA,0.8064516129032258,0.8234604105571848,0.8064516129032258,0.811520737327189,0.716
148,mf3,Random Forest_PCA,0.8064516129032258,0.8054590570719603,0.8064516129032258,0.7868663594470046,0.6910000000000001
149,mf3,Random Forest_Best_PCA,0.8709677419354839,0.869815668202765,0.8709677419354839,0.8657082748948106,0.7316666666666667
150,mf3,BernoulliNB_PCA,0.7741935483870968,0.7612903225806452,0.7741935483870968,0.7588194921070694,0.667
151,mf3,BernoulliNB_Best_PCA,0.7741935483870968,0.7612903225806452,0.7741935483870968,0.7588194921070694,0.667
152,mf3,GaussianNB_PCA,0.8064516129032258,0.8234604105571848,0.8064516129032258,0.811520737327189,0.7153333333333334
153,mf3,GaussianNB_Best_PCA,0.8064516129032258,0.8234604105571848,0.8064516129032258,0.811520737327189,0.7236666666666667
154,subspecies,Logistic Regression_PCA,0.3225806451612903,0.1040582726326743,0.3225806451612903,0.15735641227380015,0.5393333333333333
155,subspecies,Logistic Regression_Best_PCA,0.967741935483871,0.970674486803519,0.967741935483871,0.967269289849935,0.9433333333333334
156,subspecies,Ridge_PCA,0.3225806451612903,0.1040582726326743,0.3225806451612903,0.15735641227380015,0.5393333333333333
157,subspecies,Ridge_Best_PCA,0.967741935483871,0.970674486803519,0.967741935483871,0.967269289849935,0.9343333333333333
158,subspecies,Decision Tree_PCA,0.9354838709677419,0.946236559139785,0.9354838709677419,0.9330400782013685,0.9189999999999999
159,subspecies,Decision Tree_Best_PCA,0.9354838709677419,0.946236559139785,0.9354838709677419,0.9330400782013685,0.9269999999999999
160,subspecies,K-nn_PCA,0.967741935483871,0.970674486803519,0.967741935483871,0.967269289849935,0.9263333333333333
161,subspecies,K-nn_Best_PCA,1.0,1.0,1.0,1.0,0.9513333333333334
162,subspecies,Random Forest_PCA,1.0,1.0,1.0,1.0,0.9433333333333334
163,subspecies,Random Forest_Best_PCA,1.0,1.0,1.0,1.0,0.9513333333333331
164,subspecies,BernoulliNB_PCA,0.8709677419354839,0.895405669599218,0.8709677419354839,0.8739938556067589,0.7476666666666667
